Cell type,test,material,time (hr),concentration (ug/ml),viability (%),Hydrodynamic diameter (nm),Zeta potential (mV)
Ana-1,CCK-8,ZnO,12,0.01,95.395,33.69,49.26
Ana-1,CCK-8,ZnO,12,0.1,98.355,33.69,49.26
Ana-1,CCK-8,ZnO,12,1,100.33,33.69,49.26
Ana-1,CCK-8,ZnO,12,5,97.039,33.69,49.26
BALB/c3T3,WST-1,Au,12,0.8,98.101,26,71.7
BALB/c3T3,WST-1,Au,12,4,104.43,26,71.7
BALB/c3T3,WST-1,Au,12,8,84.335,26,71.7
BALB/c3T3,WST-1,Au,12,14,72.31,26,71.7
BALB/c3T3,WST-1,Au,12,20,69.146,27.1,71.7
BALB/c3T3,WST-1,Au,24,0.8,103.64,27.1,71.7
BALB/c3T3,WST-1,Au,24,4,105.22,27.1,71.7
BALB/c3T3,WST-1,Au,24,8,59.335,27.1,71.7
BALB/c3T3,NRU,Au,24,14,51.582,27.1,71.7
BALB/c3T3,NRU,Au,24,20,31.962,27.1,71.7
BALB/c3T3,NRU,Au,3,20,120.46,27.1,-9.96
BALB/c3T3,NRU,Au,3,40,121.74,27.1,-9.96
BALB/c3T3,NRU,Au,3,60,117.14,27.1,-9.96
BALB/c3T3,NRU,Au,3,80,121.74,27.1,-9.96
BALB/c3T3,NRU,Au,3,100,116.62,27.1,-9.96
BALB/c3T3,NRU,Au,3,120,125.32,27.1,-9.96
BALB/c3T3,WST-1,Ag,24,20,112.79,27.3,-9.96
BALB/c3T3,WST-1,Ag,24,40,113.81,27.3,-9.96
BALB/c3T3,WST-1,Ag,24,60,108.95,27.3,-9.96
BALB/c3T3,WST-1,Ag,24,80,113.81,27.3,-9.96
BALB/c3T3,WST-1,Ag,24,100,121.48,27.5,-9.96
BALB/c3T3,WST-1,Ag,24,120,124.3,27.7,-9.96
BALB/c3T3,WST-1,Ag,24,150,100.51,27.7,-9.96
BALB/c3T3,WST-1,Ag,3,20,105.23,27.7,-27.8
BALB/c3T3,NRU,Ag,3,40,103.08,27.7,-27.8
BALB/c3T3,NRU,Ag,3,60,103.69,27.7,-27.8
BALB/c3T3,NRU,Ag,3,80,106.15,27.7,-27.8
BALB/c3T3,NRU,Ag,3,100,98.462,27.7,-27.8
BALB/c3T3,NRU,Ag,3,120,95.077,27.7,-27.8
BALB/c3T3,NRU,Ag,3,150,100.62,27.7,-27.8
BALB/c3T3,NRU,Ag,6,20,133.85,27.7,-27.8
BALB/c3T3,NRU,Ag,6,40,132,27.7,-27.8
BEAS-2B,CCK-8,CaHCO3,24,100,101.14,957,-10.7
BEAS-2B,CCK-8,CaHCO3,24,120,112.47,957,-10.7
BEAS-2B,CCK-8,CaHCO3,24,150,108.55,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,0,100,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,20,95.9,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,40,100.7,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,60,87.19,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,80,112.04,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,100,102.01,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,120,102.01,957,-10.7
BEAS-2B,CCK-8,CaHCO3,6,150,91.11,957,-10.7
BEAS-2B,CCK-8,CaHCO3,3,0,100,957,-10.7
BJ,EZ4U,Al2O3,24,25,94.373,50,-35
BJ,EZ4U,Al2O3,24,50,68.031,50,-35
BJ,EZ4U,Al2O3,24,100,41.432,50,-35
BJ,EZ4U,Al2O3,24,12.5,98.721,50,-31
BJ,EZ4U,Al2O3,24,25,96.164,50,-31
C3A,MTT,C,48,20,9.6308,141,-33.33
C3A,MTT,C,48,40,8.6677,141,-33.33
C3A,MTT,C,48,60,7.3836,141,-33.33
C3A,MTT,C,48,80,6.4205,141,-33.33
C3A,MTT,C,48,100,4.8154,141,-33.33
C3A,MTT,C,48,150,4.4944,141,-33.33
C3A,MTT,C,72,100,2.8892,141,-33.33
C3A,MTT,C,72,150,2.5682,141,-33.33
C3A,MTT,C,72,200,3.5313,141,-33.33
C3A,MTT,C,72,250,3.8523,141,-33.33
C3A,MTT,C,24,0.5,87.183,141,-36.5
C3A,MTT,C,24,2,86.44,141,-36.5
C6,MTT,C,24,5,97.981,71,-8.72
C6,MTT,C,24,25,91.117,71,8.29
C6,MTT,C,24,50,76.312,71,-12.81
C6,MTT,C,24,75,59.758,75,-21.715
C6,MTT,C,24,100,44.684,75,0.4
C6,MTT,C,24,5,98.654,75,-1.715
C6,NRU,C,24,25,96.904,75,-29.45
C6,NRU,C,24,50,84.253,75,20.27
C6,NRU,C,24,75,68.775,75,-21.715
C6,NRU,C,24,100,66.622,75,-21.025
C6,NRU,C,24,5,99.038,75,31.49
C6,NRU,C,24,25,95.879,75.1,-10.75
C6,Live/Dead,C,24,50,94.918,75.1,-9.51
C6,Live/Dead,C,24,75,94.918,75.1,-29.45
C6,Live/Dead,C,24,100,93.819,75.1,-7.8
C6,MTT,C,24,200,87.879,78,-9.72
C6,MTT,C,24,50,90.909,78,-8.1
C6,MTT,C,24,100,55.455,78,-8.1
C6,MTT,C,24,200,35.455,78,-8.1
C6,MTT,C,24,50,100,78,-6.96
C6,NRU,C,24,100,82.424,78,-6.96
C6,NRU,C,24,200,56.364,78,-6.96
C6,NRU,C,24,50,95.152,78.3,-9.64
C6,NRU,C,24,100,87.879,78.3,-9.64
C6,NRU,C,24,200,76.364,78.3,-9.64
C6,Live/Dead,C,24,50,105.76,78.3,-9.78
C6,Live/Dead,C,24,100,99.091,78.3,-9.78
C6,Live/Dead,C,24,200,100.3,78.3,-9.78
Caco-2,CellTiterBlue,Ag,24,100,162.02,4,-8.72
Caco-2,CellTiterBlue,Ag,24,1,87.472,4,-51.9
Caco-2,CellTiterBlue,Ag,24,10,61.197,4,-51.9
Caco-2,CellTiterBlue,Ag,24,20,51.774,4,-51.9
Caco-2,CellTiterBlue,Ag,24,50,44.9,4,-51.9
Caco-2,CellTiterBlue,Ag,3,125,95.027,4,71.7
Caco-2,CellTiterBlue,Ag,3,250,106.05,4,71.7
Caco-2,CellTiterBlue,Ag,3,500,74.757,4,71.7
Caco-2,CellTiterBlue,Ag,3,1000,49.297,4,71.7
Caco-2,CellTiterBlue,Ag,3,125,91.304,4,71.7
Caco-2,CellTiterBlue,Ag,3,250,90.261,4,71.7
Caco-2,CellTiterBlue,Ag,3,500,78.957,4,71.7
Caco-2,CellTiterBlue,Ag,3,1000,65.565,4,71.7
Caco-2,CellTiterBlue,Ag,24,0.5,88.907,4,26.4
Caco-2,CellTiterBlue,Ag,24,1,89.723,4,26.4
Caco-2,CellTiterBlue,Ag,24,5,93.312,4,-18
Caco-2,CellTiterBlue,Ag,24,10,91.517,4,-17.92
Caco-2,CellTiterBlue,Ag,24,50,80.914,4,8.29
Caco-2,CellTiterBlue,Ag,24,100,74.388,4,-7.6
Caco-2,CellTiterBlue,Ag,24,0.5,88.699,4.2,-23.5
Caco-2,CellTiterBlue,Ag,24,1,87.158,4.2,-23.5
Caco-2,CellTiterBlue,Ag,24,5,86.473,4.7,-23.5
Caco-2,CellTiterBlue,Ag,24,10,90.925,4.7,-23.5
Caco-2,CellTiterBlue,Ag,24,50,88.014,4.7,-23.5
Caco-2,CellTiterBlue,Ag,24,100,85.616,4.7,-23.5
Caco-2,CellTiterBlue,Ag,24,0.5,87.873,4.7,-27.7
Caco-2,CellTiterBlue,Ag,24,1,86.455,4.7,-27.7
Caco-2,CellTiterBlue,Ag,24,5,83.445,4.7,-27.7
Caco-2,CellTiterBlue,Ag,24,10,91.639,4.7,-27.7
Caco-2,CellTiterBlue,Ag,24,50,85.786,4.7,-27.7
Caco-2,AlamarBlue,SiO2,72,100,30.839,8,-38.1
Caco-2,AlamarBlue,SiO2,72,200,23.356,8,-38.1
Caco-2,AlamarBlue,SiO2,72,500,1.1338,8,-38.1
Caco-2,AlamarBlue,SiO2,72,10,42.63,8,-31.7
Caco-2,AlamarBlue,SiO2,72,50,34.467,8,-31.7
Caco-2,AlamarBlue,SiO2,72,100,31.973,8,-31.7
Caco-2,AlamarBlue,SiO2,72,200,27.891,8,-31.7
Caco-2,AlamarBlue,SiO2,72,500,17.234,8,-31.7
Caco-2,AlamarBlue,SiO2,72,10,42.177,8,-36.3
Caco-2,AlamarBlue,SiO2,72,50,29.252,8,-36.3
Caco-2,AlamarBlue,SiO2,72,100,24.943,8,-36.3
Caco-2,AlamarBlue,SiO2,72,200,22.676,8,-36.3
Caco-2,AlamarBlue,SiO2,72,500,12.245,8,-36.3
Caco-2,AlamarBlue,SiO2,24,10,68.856,8,-24.5
Caco-2,AlamarBlue,SiO2,24,50,61.071,8,-24.5
Caco-2,AlamarBlue,SiO2,24,100,59.611,8,-24.5
Caco-2,AlamarBlue,SiO2,24,200,59.124,8,-24.5
Caco-2,AlamarBlue,SiO2,24,500,58.151,8,-24.5
Caco-2,AlamarBlue,SiO2,24,10,99.757,8,-38.1
Caco-2,AlamarBlue,SiO2,24,50,67.397,8,-38.1
Caco-2,AlamarBlue,SiO2,24,100,66.423,8,-38.1
Caco-2,AlamarBlue,SiO2,24,200,62.774,8,-38.1
Caco-2,AlamarBlue,SiO2,24,500,53.041,8,-38.1
Caco-2,AlamarBlue,SiO2,24,10,68.613,8,-31.7
Caco-2,CCK-8,Ag,3,10,101.97,13,-8.23
Caco-2,CCK-8,Ag,3,15,92.358,13,-8.23
Caco-2,CCK-8,Ag,3,20,86.463,13,-8.23
Caco-2,CCK-8,Ag,3,25,65.066,13,-8.23
Caco-2,CCK-8,Ag,3,30,56.769,13,-8.23
Caco-2,CCK-8,ZnO,3,35,56.769,13,-8.23
Caco-2,CCK-8,ZnO,3,40,50.437,13,-8.23
Caco-2,CCK-8,ZnO,3,80,61.572,13,-8.23
Caco-2,CCK-8,ZnO,6,10,104.8,13,-8.23
Caco-2,CCK-8,ZnO,6,15,100.44,13,-8.23
Caco-2,MTT,TiO2,24,5,72.49,20,26.65
Caco-2,MTT,TiO2,24,0.3,91.265,20,14.05
Caco-2,MTT,TiO2,24,0.6,90.352,20,14.05
Caco-2,MTT,TiO2,24,1.2,66.623,20,46.65
Caco-2,MTT,TiO2,24,2.5,44.329,20,17.7
Caco-2,MTT,TiO2,24,5,40.808,20,17.7
Caco-2,MTT,TiO2,24,0.3,99.739,20,39.64
Caco-2,MTT,TiO2,24,0.6,99.087,20,39.64
Caco-2,MTT,TiO2,24,1.2,97.523,20,-22.61
Caco-2,MTT,TiO2,24,2.5,97.262,20,1.14
Caco-2,MTT,TiO2,24,5,96.61,20,-22.95
Caco-2,MTT,TiO2,24,0.3,98.705,20,-17.1
Caco-2,MTT,TiO2,24,0.6,100.29,20,-9
Caco-2,MTT,TiO2,24,1.2,100.58,20,-9
Caco-2,MTT,TiO2,24,2.5,96.547,20,-8.75
Caco-2,MTT,TiO2,24,5,72.806,20,26.65
Caco-2,MTT,TiO2,24,0.3,98.993,20,71.7
Caco-2,MTT,TiO2,24,0.6,84.748,20,6.5
Caco-2,MTS,CuO,72,2.5,96.078,29.57,-12.32
Caco-2,MTS,CuO,72,5,95.686,29.57,-12.32
Caco-2,MTS,CuO,72,6.25,96.471,29.57,-12.32
Caco-2,MTS,CuO,72,12.5,93.137,29.57,-12.32
Caco-2,MTT,Bi2O3,20,0,94.1,504.5,-29.5
Caco-2,MTT,Bi2O3,20,200,91.6,504.5,-29.5
Caco-2,MTT,Bi2O3,24,0,101.28,504.5,-13.2
Caco-2,MTT,Bi2O3,24,0.001,102.24,504.5,-13.2
Caco-2,MTT,Bi2O3,24,0.01,101.28,504.5,-13.2
Caco-2,MTT,Bi2O3,24,0.1,96.48,504.5,-13.2
Caco-2,MTT,Bi2O3,24,1,98.4,504.5,-13.2
Caco-2,NRU,Bi2O3,3,100,122.2222,504.5,-10.7
Caco-2,NRU,Bi2O3,3,120,121.1111,504.5,-10.7
Caco-2,NRU,Bi2O3,3,150,116.6667,504.5,-10.7
Caco-2,NRU,Bi2O3,24,0,100,518,-10.7
Caco-2,NRU,Bi2O3,24,20,82.2599,518,-10.7
Caco-2,NRU,Bi2O3,24,40,76.7232,546,-10.7
Caco-2,NRU,Bi2O3,24,60,83.8418,546,-10.7
Caco-2,NRU,Bi2O3,24,80,85.4237,546,-10.7
Caco-2,CellTiterBlue,Ag,3,250,106.05,4,71.7
CCL-110,MTS,Au,72,100,32.648,50,-30
CCL-110,MTS,Au,72,12.5,75.064,50,-30
CCL-110,MTS,Au,72,25,67.352,50,-30
CCL-110,MTS,Au,72,50,67.095,50,-30
CCL-110,MTS,Au,72,100,59.126,50,-30
CCL-110,MTS,Au,24,200,54.026,50,-16.8
CCL-110,MTS,Au,24,400,54.319,50,-16.8
CCL-110,MTS,Au,24,200,26.061,50,-9.9
CCL-110,MTS,Au,24,400,24.89,50,-9.9
CCL-110,MTS,Au,24,2,83.404,50,-20.36
CCL-110,MTS,Au,24,5,69.094,50,-20.36
CCL-110,MTS,Au,24,80,45.873,50,-10.1
CCL-110,MTS,Au,24,160,52.207,50,-10.1
CCL-110,MTS,Au,24,5,95.385,50,-10.1
CCL-110,MTS,Au,24,10,81.346,50,-10.1
CCL-110,MTS,Au,24,20,77.692,50,-10.1
CCL-110,MTS,Au,24,40,70,50,-10.1
CCL-110,MTS,Au,24,80,67.308,50,-10.1
CCL-110,MTS,Au,24,160,55.192,50,-10.1
CCL-110,MTS,Au,24,5,97.922,50,-10.1
CCL-110,MTS,Au,24,100,86.919,50,-10.1
CCL-110,MTS,Au,24,200,82.885,50,-10.1
CCL-110,MTS,Au,24,5,99.04,50,-36
CCL-110,MTS,Au,24,10,88.196,50,-36
CCL-110,MTS,Au,24,20,75.24,50,-36
CCL-110,MTS,Au,24,5,92.898,50,-35
CCL-110,MTS,Au,24,10,89.251,50,-35
CCL-110,MTS,Ag,24,4,84.582,145.45,-36.5
CCL-110,MTS,Ag,48,0.5,77.523,147.75,-36.5
CCL-110,MTS,Ag,48,2,72.693,149.1,-36.5
CCL-110,MTS,Ag,48,4,65.263,149.1,-36.5
CCL-110,MTS,Ag,72,0.5,75.294,149.1,-36.5
CCL-110,MTS,Ag,72,2,50.217,149.1,-36.5
CCL-110,MTS,Ag,72,4,42.229,149.1,-36.5
CCL-110,MTS,Ag,24,0.5,93.499,149.1,11
CCL-110,MTS,Ag,24,2,87.74,149.1,11
CCL-110,MTS,Ag,24,4,86.44,149.1,11
CCL-110,MTS,Ag,48,0.5,92.941,149.1,11
CCL-110,MTS,Ag,48,2,83.653,149.1,11
CCL-110,MTS,Ag,48,4,78.824,149.1,11
CCL-110,MTS,Ag,72,0.5,90.712,149.1,11
CCL-110,MTS,Ag,72,2,80.31,149.1,11
CCL-110,MTS,Ag,72,4,71.022,149.1,11
CCL-110,MTS,Au,24,0.5,97.447,149.1,-36.5
CCL-110,MTS,Au,24,2,94.681,149.1,-36.5
CCL-110,MTS,Au,24,4,91.277,149.1,-36.5
CCL-110,MTS,Au,48,0.5,92.766,149.1,-36.5
CCL-110,MTS,Au,48,2,80.426,149.1,-36.5
CCL-110,MTS,Au,48,4,63.404,149.1,-36.5
CCL-110,MTS,Au,72,0.5,85.745,149.1,-36.5
CCL-110,MTS,Au,72,2,71.915,149.1,-36.5
CCL-110,MTS,Au,72,4,45.319,149.1,-36.5
CCL-110,MTS,Au,24,0.5,100,149.1,11
CCL-110,MTS,Au,24,2,95.532,149.1,11
CCL-110,MTS,Au,24,4,93.192,149.1,11
CCL-110,MTS,Au,48,0.5,96.596,149.1,11
CCL-110,MTS,Au,48,2,90.426,149.1,11
CCL-110,MTS,Au,48,4,83.191,149.1,11
CCL-110,MTS,Au,72,0.5,92.34,149.1,11
CCL-110,MTS,Ag,72,2,88.085,149.1,11
CCL-110,MTS,Ag,72,4,74.468,149.1,11
CCL-110,MTS,Ag,24,0.5,93.8,149.1,-36.5
CCL-110,MTS,Ag,24,2,88.875,149.1,-36.5
CCL-110,MTS,Ag,24,4,74.468,149.1,-36.5
CCL-110,MTS,Ag,48,0.5,87.052,149.1,-36.5
CCL-110,MTS,Ag,48,2,75.198,149.1,-36.5
CCL-110,MTS,Ag,48,4,67.173,149.1,-36.5
CCL-110,MTS,Au,24,0.5,98.9,149.1,11
CCL-110,MTS,Au,24,2,97.629,149.1,11
CCL-110,MTS,Au,24,4,95.988,149.1,11
CCL-110,MTS,Au,48,0.5,98.941,149.1,11
CCL-110,MTS,Au,48,2,97.629,149.1,11
CCL-110,MTS,Au,48,4,95.076,149.1,11
CCL-110,MTS,Au,24,8,93.005,149.1,-28.4
CCL-110,MTS,Au,24,32,85.215,149.1,-28.4
CCL-110,MTS,Au,24,128,59.936,149.1,-28.4
CCL-110,MTS,Au,24,8,81.24,149.1,-5.63
CCL-110,MTS,Au,24,32,72.973,149.1,-5.63
CCL-110,MTS,Au,24,128,46.741,149.1,-5.63
CCL-110,MTS,Au,24,5,95.017,149.1,71.7
CCL-110,MTS,Au,24,10,73.09,149.1,71.7
CHO-K1,NRU,TiO2,48,20,95.281,49.2,-31.4
CHO-K1,NRU,TiO2,48,50,89.663,49.2,-15.36
CHO-K1,NRU,TiO2,48,0.5,100.46,50,11
CHO-K1,NRU,TiO2,48,10,100,50,-57.5
CHO-K1,NRU,TiO2,48,20,98.169,50,-8
CHO-K1,MTT,TiO2,48,50,96.796,50,-8
CHO-K1,MTT,TiO2,48,0.5,98.627,50,-17.6
CHO-K1,MTT,TiO2,48,10,100,50,-26.5
CHO-K1,MTT,TiO2,48,20,101.14,50,-26.5
CHO-K1,NRU,Al2O3,48,50,102.29,50,-8.72
CHO-K1,NRU,Al2O3,48,0.5,100,50,11
CHO-K1,NRU,Al2O3,48,10,98.789,50,-57.5
CHO-K1,NRU,Al2O3,48,20,99.274,50,-8
CHO-K1,NRU,Al2O3,48,50,93.705,50,-8
CHO-K1,MTT,Al2O3,48,0.5,100.48,50,-24.7
CHO-K1,MTT,Al2O3,48,10,101.21,50,-26.5
CHO-K1,MTT,Al2O3,48,20,101.21,50,-15.36
CHO-K1,MTT,Al2O3,48,50,100.48,50,-8.72
EBF,CCK-8,Ag,24,1000,28.27,28.2,-7.01
EBF,CCK-8,Ag,24,200,61.47,28.2,-7.21
EBF,CCK-8,Ag,24,400,54.71,28.2,-7.21
EBF,CCK-8,Ag,24,600,48.15,28.2,-7.21
EBF,CCK-8,Ag,24,600,38.93,28.32,-9.83
EBF,CCK-8,Ag,24,800,32.17,28.33,-9.83
EBF,CCK-8,Ag,24,1000,22.13,28.33,-9.83
EBF,CCK-8,Ag,24,1000,54.61,28.33,-7.21
EBF,CCK-8,Ag,24,4,98.097,28.33,71.7
EBF,CCK-8,Ag,24,8,87.408,28.33,71.7
EBF,CCK-8,Ag,24,16,68.96,28.33,71.7
EBF,CCK-8,Ag,24,8,95.748,28.33,71.7
EBF,CCK-8,Ag,24,16,79.912,28.33,71.7
EBF,CCK-8,Ag,24,40,48.68,28.33,71.7
EBF,CCK-8,Ag,24,80,29.472,28.33,71.7
EBF,CCK-8,Ag,24,40,63.596,28.33,71.7
EBF,CCK-8,Ag,24,80,60.234,28.33,71.7
EBF,CCK-8,Ag,24,160,57.018,28.33,71.7
EBF,CCK-8,Ag,24,10,91.59,28.33,34.17
EBF,CCK-8,Ag,24,10,94.15,29.57,-20.21
EBF,CCK-8,Ag,24,20,30.713,29.57,24.3
EJ28,WST-1,C,24,10,75.5,47.3,-8.72
EJ28,WST-1,C,24,0.625,98.3,47.3,-8.72
EJ28,WST-1,C,24,1.25,93.8,47.3,-8.72
EJ28,WST-1,C,24,2.5,86.9,47.3,-8.72
EJ28,WST-1,C,24,5,80.3,47.5,-8.72
EJ28,WST-1,C,24,10,57.5,47.9,-8.72
EJ28,WST-1,C,48,0.5,99.551,47.9,11
EJ28,WST-1,C,48,10,97.079,47.9,-57.5
EJ28,WST-1,C,48,20,97.079,47.9,-8
EJ28,WST-1,C,48,50,87.191,47.9,-8
EJ28,WST-1,C,48,0.5,99.551,49.2,-17.6
EJ28,WST-1,C,48,10,97.079,49.2,-31
H1299,MTT,Au,96,100,91.27,21.06,-5.21
H1299,MTT,Au,96,200,86.111,21.06,-5.21
H1299,MTT,Au,96,500,83.333,21.06,-5.21
H1299,MTT,Au,96,50,89.431,21.06,-28.7
H1299,MTT,Au,96,100,81.707,21.06,-28.7
H1299,MTT,Au,96,200,81.03,21.06,-28.7
H1299,MTT,Au,96,500,84.959,21.06,-28.7
H1299,MTT,Au,96,50,81.081,21.06,-5.21
HaCat,MTT,CuO,24,50,66.41,10.9,-31.7
HaCat,MTT,CuO,24,100,68.69,10.9,-31.7
HaCat,MTT,CuO,24,200,63.25,10.9,-31.7
HaCat,MTT,CuO,24,10,27.99,10.9,71.7
HaCat,MTT,CuO,24,25,25.73,10.9,71.7
HaCat,MTT,CuO,24,50,18.21,10.9,71.7
HaCat,MTT,CuO,24,100,17.87,10.9,71.7
HaCat,MTT,CuO,24,200,14.34,10.9,71.7
HaCat,MTT,SiO2,24,80,118.15,28,-27.8
HaCat,MTT,SiO2,24,100,118.46,28,-27.8
HaCat,MTT,SiO2,24,120,124,28,-27.8
HaCat,MTT,SiO2,24,150,110.77,28,-27.8
HaCat,MTT,SiO2,24,93.64,92.676,28,-16.8
HaCat,MTT,SiO2,24,140.5,90.986,28,-16.8
HaCat,CCK-8,SiO2,24,50,77.536,30,-40.5
HaCat,CCK-8,SiO2,24,100,69.324,30,-40.5
HaCat,CCK-8,SiO2,24,200,50.242,30,-40.5
HaCat,CCK-8,SiO2,24,400,35.024,30,-40.5
HaCat,CCK-8,SiO2,48,25,80.918,30,-40.5
HaCat,CCK-8,SiO2,48,50,70.048,30,-40.5
HaCat,CCK-8,SiO2,48,100,58.454,30,-40.5
HaCat,CCK-8,SiO2,48,200,44.203,30,-40.5
HaCat,CCK-8,SiO2,48,400,29.952,30,-40.5
HaCat,CCK-8,SiO2,72,25,66.667,30,-40.5
HaCat,CCK-8,SiO2,72,50,54.831,30,-40.5
HaCat,CCK-8,SiO2,72,100,44.928,30,-40.5
HaCat,CCK-8,SiO2,72,200,31.643,30,-40.5
HaCat,CCK-8,SiO2,72,400,19.807,30,-40.5
HaCat,CCK-8,SiO2,24,25,78.385,30,-40.5
HaCat,CCK-8,SiO2,24,50,64.371,30,-40.5
HaCat,CCK-8,SiO2,24,100,47.506,30,-40.5
HaCat,CCK-8,SiO2,24,200,34.204,30,-40.5
HaCat,CCK-8,SiO2,24,400,19.002,30,-40.5
HaCat,CCK-8,SiO2,48,25,65.321,30,-40.5
HaCat,CCK-8,SiO2,48,50,50.356,30,-40.5
HaCat,CCK-8,SiO2,48,100,37.53,30,-40.5
HaCat,CCK-8,SiO2,48,200,26.128,30,-40.5
HaCat,CCK-8,SiO2,48,400,16.865,30,-40.5
HaCat,AlamarBlue,Ag,24,25,60.133,149.1,71.7
HaCat,AlamarBlue,Ag,24,50,49.169,149.1,71.7
HaCat,AlamarBlue,Ag,24,100,39.092,149.1,71.7
HaCat,AlamarBlue,Ag,48,5,93.245,149.1,71.7
HaCat,AlamarBlue,Ag,48,10,60.908,149.1,71.7
HaCat,AlamarBlue,Ag,48,25,47.841,149.1,71.7
HaCat,AlamarBlue,Ag,48,50,37.874,149.1,71.7
HaCat,AlamarBlue,Ag,48,100,26.91,149.1,71.7
HaCat,AlamarBlue,Ag,24,5,101.65,149.1,25.3
HaCat,AlamarBlue,Ag,24,10,82.234,150,25.3
HaCat,AlamarBlue,Ag,24,25,71.827,150,25.3
HaCat,AlamarBlue,Ag,24,50,59.518,153.88,25.3
HaCat,AlamarBlue,Ag,24,100,39.848,154.85,25.3
HaCat,AlamarBlue,Ag,24,5,97.387,157.15,25.3
HaCat,AlamarBlue,Ag,24,10,95.873,158.75,25.3
HaCat,AlamarBlue,Ag,24,25,92.71,161.4,25.3
HaCat,AlamarBlue,Ag,24,50,85.282,161.7,25.3
HaCat,AlamarBlue,Ag,24,100,81.568,162.5,25.3
HaCat,AlamarBlue,Ag,24,1,94.911,162.71,71.7
HaCat,AlamarBlue,Ag,24,2,80.407,164.065,71.7
HaCat,AlamarBlue,Ag,24,5,79.262,165.25,71.7
HaCat,AlamarBlue,Ag,24,10,58.779,165.3,71.7
HaCat,AlamarBlue,Ag,24,25,43.13,167.8,71.7
HaCat,AlamarBlue,Ag,24,50,20.229,167.8,71.7
HaCat,NRU,Ag,24,5,97.86,199.89,-29.1
HaCat,NRU,Ag,24,20,84.241,199.89,-29.1
HaCat,NRU,Ag,24,30,56.42,199.89,-29.1
HaCat,NRU,Ag,24,40,19.844,199.89,-29.1
HaCat,NRU,Ag,24,50,4.2802,199.89,-29.1
HaCat,NRU,Ag,24,100,3.3074,199.89,-29.1
HaCat,NRU,Ag,48,0.5,104.67,199.89,-29.1
HaCat,NRU,Ag,48,1,101.36,199.89,-29.1
HaCat,NRU,Ag,48,5,65.564,199.89,-29.1
HaCat,NRU,Ag,48,20,27.821,199.89,-29.1
HaCat,NRU,Ag,48,30,2.9183,199.89,-29.1
HaCat,NRU,Ag,48,40,2.5292,199.89,-29.1
HaCat,NRU,Ag,48,50,1.1673,199.89,-29.1
HaCat,NRU,Ag,48,100,0.7782,199.89,-29.1
HaCat,NRU,Ag,48,5,89.744,199.89,-26.96
HaCat,NRU,Ag,48,10,85.755,199.89,-26.96
HaCat,NRU,Ag,48,100,7.9772,199.89,-26.96
HaCat,NRU,Ag,48,1000,9.6866,199.89,-26.96
HaCat,NRU,Ag,48,5,100.28,199.89,-57.5
HaCat,NRU,Ag,48,10,98.86,199.89,-57.5
HaCat,NRU,Ag,48,100,53.561,199.89,-57.5
HaCat,NRU,Ag,48,5,100.28,199.89,-73.8
HaCat,NRU,Ag,48,10,89.744,199.89,-73.8
HaCat,NRU,Ag,48,100,25.926,199.89,-73.8
HaCat,MTT,Ag,72,1000,196.68,215,-9.165
HaCat,MTT,Ag,72,1000,88.704,215,-9.165
HaCat,MTT,Ag,72,1000,92.359,215,0.73
HaCat,MTT,Ag,72,1000,98.339,215,-9.165
HaCat,MTT,Ag,24,0.5,102.52,215,-42.7
HaCat,MTT,Ag,24,5,87.815,215,-42.7
HaCat,MTT,Ag,24,10,79.503,215,-42.7
HaCat,MTT,Ag,24,25,73.748,215,-42.7
HaCat,MTT,Ag,24,50,39.645,215,-42.7
HaCat,MTT,Ag,24,75,14.494,215,-42.7
HaCat,MTT,Ag,24,100,14.92,215,-42.7
HaCat,MTT,Ag,48,0.5,102.52,215,-42.7
HaCat,MTT,Ag,48,5,96.128,215,-42.7
HaCat,MTT,Ag,48,10,85.258,215,-42.7
HaCat,MTT,Ag,48,25,73.108,215,-42.7
HaCat,MTT,Ag,48,50,35.169,215,-42.7
HaCat,MTT,Ag,48,75,6.1812,215,-42.7
HaCat,MTT,Ag,48,100,7.8863,215,-42.7
HaCat,MTT,Ag,24,0.5,107.48,215,-12.1
HaCat,MTT,Ag,24,5,100.62,215,-12.1
HaCat,MTT,Ag,24,10,101.25,215,-12.1
HaCat,MTT,Ag,24,25,97.921,215,-12.1
HaCat,MTT,Ag,24,50,99.792,215,-12.1
HaCat,MTT,Ag,24,75,111.64,226.75,-12.1
HaCat,MTT,Ag,24,100,13.6598,375.4,42.8
HaCat,MTT,Ag,12,0.001,96.9828,375.4,42.8
HaCat,MTT,Ag,12,0.01,94.6552,375.4,42.8
HaCat,MTT,Ag,12,0.1,95.431,375.4,42.8
HaCat,MTT,Ag,12,1,98.2759,375.4,42.8
HaCat,MTT,Ag,12,5,82.2414,375.4,42.8
HaCat,MTT,Ag,12,10,62.3276,375.4,42.8
HaCat,MTT,Ag,12,20,44.4828,375.4,42.8
HaCat,MTT,Ag,12,50,15.7759,375.4,42.8
